7_days,14_days,target
5.4071428571428575,5.622857142857143,1.5
6.764285714285714,6.611428571428571,6.34
6.908571428571428,6.743571428571428,5.0
7.122857142857143,6.362142857142857,5.33
7.051428571428572,6.576428571428571,4.33
7.194285714285714,6.6707142857142845,6.33
7.194285714285714,6.193571428571429,5.0
6.359999999999999,5.883571428571429,3.67
5.24,6.002142857142857,12.33
4.477142857142857,5.692857142857142,8.67
4.8100000000000005,5.966428571428571,8.0
4.642857142857143,5.847142857142858,3.0
4.832857142857143,6.01357142857143,3.34
4.832857142857143,6.013571428571429,2.0
5.142857142857143,5.751428571428572,8.0
5.998571428571429,5.619285714285715,6.01
6.522857142857142,5.5,6.33
6.904285714285714,5.857142857142857,3.5
6.714285714285714,5.678571428571429,6.0
6.2871428571428565,5.5600000000000005,2.34
5.8585714285714285,5.345714285714286,8.99
6.477142857142858,5.8100000000000005,8.5
5.574285714285714,5.786428571428572,2.34
5.24,5.881428571428572,2.67
4.597142857142857,5.750714285714286,9.33
5.025714285714286,5.87,7.0
4.882857142857143,5.585,10.84
5.881428571428572,5.869999999999999,11.0
5.952857142857143,6.214999999999999,4.0
5.428571428571429,5.501428571428571,8.18
4.905714285714287,5.072857142857143,5.33
5.738571428571428,5.167857142857143,1.34
5.881428571428572,5.453571428571428,3.34
7.095714285714285,5.989285714285714,8.83
7.382857142857143,6.632142857142857,8.33
6.74,6.346428571428571,4.34
7.574285714285714,6.501428571428572,2.67
7.954285714285713,6.43,2.0
6.812857142857142,6.275714285714287,6.0
6.29,6.085714285714286,11.33
6.002857142857144,6.549285714285714,4.66
5.621428571428572,6.502142857142857,7.33
5.67,6.204999999999999,4.68
4.882857142857143,6.228571428571429,3.33
4.4071428571428575,6.180714285714286,0.67
5.072857142857143,5.942857142857143,9.83
6.214285714285714,6.252142857142857,3.34
